id,left,top,right,bottom,District,DEM_mean,Slope_mean,LandCover_mean,ppp_sum,NDVI_JFM,NDVI_AMJ,NDVI_JAS,NDVI_OND,NDWI_JFM,NDWI_AMJ,NDWI_JAS,NDWI_OND,Soil_Phosp,Soil_Coppe,Soil_Iron,Soil_Magne,Rainfall,Soil_Boron,Soil_Alumi,Soil_Potas,LST_JFM,LST_AMJ,LST_JAS,LST_OND
114,118564.9928,-97228.2007999998,123564.9928,-102228.2008,KANUNGU,1472.1660,89.9970,4,2975.3,0.48,0.01,0.48,0.62,0.32,0.76,0.77,0.91,2003.07,257.51,231.52,365.65,36,102.26,981.66,240.91,1051,1366,1395,1036
115,118564.9928,-102228.2008,123564.9928,-107228.2008,KANUNGU,1516.1615,89.9973,3,185.8,0.08,0.67,0.86,0.23,0.77,0.21,0.54,0.61,2143.27,217.36,268.37,313.49,36,111.96,1036.16,241.94,1165,1841,1242,2747
116,118564.9928,-107228.2008,123564.9928,-112228.2008,KISORO,1590.3774,89.9976,2,997.6,0.49,0.90,0.51,0.08,0.30,0.29,0.21,0.37,2673.31,203.48,301.76,313.47,36,106.44,1185.53,253.62,621,1234,2011,1906
117,118564.9928,-112228.2008,123564.9928,-117228.2008,KISORO,1586.1691,89.9974,3,87.4,0.59,0.64,0.55,0.20,0.03,0.02,0.62,0.34,2361.39,195.74,325.31,324.41,36,80.03,1290.67,273.34,2338,725,1229,1200
118,118564.9928,-117228.2008,123564.9928,-122228.2008,KISORO,1599.5807,89.9973,4,349.6,0.20,0.86,0.57,0.03,0.19,0.61,0.39,0.73,2247.57,194.89,281.26,304.34,36,94.73,1258.31,272.29,2140,1034,610,1690
119,118564.9928,-122228.2008,123564.9928,-127228.2008,KISORO,1687.9511,89.9970,4,606.5,0.37,0.85,0.25,0.75,0.79,0.15,0.53,0.62,1743.99,193.63,258.37,260.71,36,88.81,1267.59,237.16,51,2555,1057,524
120,118564.9928,-127228.2008,123564.9928,-132228.2008,KISORO,1730.5641,89.9960,4,137.6,0.20,0.14,0.25,0.03,0.60,0.82,0.96,0.05,1520.02,205.13,238.97,228.88,36,91.03,1222.21,247.05,1383,2753,91,2898
121,118564.9928,-132228.2008,123564.9928,-137228.2008,KISORO,1813.3450,89.9968,4,2284.6,0.13,0.67,0.15,0.40,0.83,0.30,0.54,0.18,1657.33,207.88,218.76,259.76,36,89.50,1216.73,280.77,5,2456,345,883
122,118564.9928,-137228.2008,123564.9928,-142228.2008,KISORO,1817.8309,89.9556,4,1048.2,0.16,0.05,0.94,0.75,0.01,0.87,0.85,0.18,1725.21,204.29,204.22,280.23,38.1811766404806,87.90,1232.22,343.16,2208,1544,1713,1673
123,118564.9928,-142228.2008,123564.9928,-147228.2008,KISORO,1966.1245,89.9583,4,640.3,0.55,0.32,0.69,0.68,0.75,0.42,0.97,0.95,1613.19,180.74,188.43,271.54,39,76.79,1377.14,359.17,790,1025,2022,500
